,Recommendation_System_Type,Category,Product,Brand,Rating,Sales
0,Overall Rating,Portable Audio & Video,1647,Other,4.99,
1,Overall Rating,Portable Audio & Video,3214,Other,4.84,
2,Overall Rating,Portable Audio & Video,2667,Other,4.78,
3,Overall Rating,Portable Audio & Video,5802,Other,4.71,
4,Overall Rating,Portable Audio & Video,7715,Other,4.69,
0,Overall Rating,Computers & Accessories,4050,Other,4.9,
1,Overall Rating,Computers & Accessories,4966,Plemo,4.9,
2,Overall Rating,Computers & Accessories,5607,Other,4.84,
3,Overall Rating,Computers & Accessories,7382,Other,4.83,
4,Overall Rating,Computers & Accessories,9392,Other,4.82,
0,Overall Rating,Headphones,4576,EldHus,4.87,
1,Overall Rating,Headphones,4413,Other,4.79,
2,Overall Rating,Headphones,4320,Other,4.79,
3,Overall Rating,Headphones,4013,Other,4.75,
4,Overall Rating,Headphones,4584,Other,4.74,
0,Overall Rating,Camera & Photo,2513,Other,5.0,
1,Overall Rating,Camera & Photo,8484,Canon,4.91,
2,Overall Rating,Camera & Photo,7460,Other,4.88,
3,Overall Rating,Camera & Photo,4283,Fujifilm,4.88,
4,Overall Rating,Camera & Photo,4367,Other,4.88,
0,Overall Rating,Accessories & Supplies,3103,Other,4.89,
1,Overall Rating,Accessories & Supplies,7570,Other,4.88,
2,Overall Rating,Accessories & Supplies,3672,Other,4.88,
3,Overall Rating,Accessories & Supplies,7163,ebasy,4.87,
4,Overall Rating,Accessories & Supplies,5769,Other,4.85,
0,Overall Rating,Television & Video,5030,Other,4.72,
1,Overall Rating,Television & Video,476,Panasonic,4.69,
2,Overall Rating,Television & Video,9366,Other,4.66,
3,Overall Rating,Television & Video,8177,Other,4.66,
4,Overall Rating,Television & Video,2462,Other,4.56,
0,Overall Rating,Car Electronics & GPS,4659,Other,4.96,
1,Overall Rating,Car Electronics & GPS,1991,Other,4.87,
2,Overall Rating,Car Electronics & GPS,3498,Other,4.86,
3,Overall Rating,Car Electronics & GPS,3300,Other,4.81,
4,Overall Rating,Car Electronics & GPS,5559,Other,4.74,
0,Overall Rating,Home Audio,1546,Other,4.8,
1,Overall Rating,Home Audio,3443,Other,4.76,
2,Overall Rating,Home Audio,7384,Other,4.73,
3,Overall Rating,Home Audio,811,Other,4.73,
4,Overall Rating,Home Audio,1006,Other,4.7,
0,Overall Rating,Security & Surveillance,4027,Other,4.67,
1,Overall Rating,Security & Surveillance,5031,Other,4.65,
2,Overall Rating,Security & Surveillance,1840,Other,4.5,
3,Overall Rating,Security & Surveillance,3754,Other,4.49,
4,Overall Rating,Security & Surveillance,2687,Other,4.47,
0,Overall Rating,Wearable Technology,4968,Other,4.8,
1,Overall Rating,Wearable Technology,7759,Other,4.37,
2,Overall Rating,Wearable Technology,8752,Other,4.31,
3,Overall Rating,Wearable Technology,5033,Other,4.27,
4,Overall Rating,Wearable Technology,6438,Other,4.17,
0,Overall Rating,Dresses,154064,ModCloth,4.78,
1,Overall Rating,Dresses,142983,Other,4.67,
2,Overall Rating,Dresses,143686,Other,4.65,
3,Overall Rating,Dresses,110169,Ryu,4.63,
4,Overall Rating,Dresses,112559,Other,4.62,
0,Overall Rating,Outerwear,135555,ModCloth,4.61,
1,Overall Rating,Outerwear,123500,ModCloth,4.54,
2,Overall Rating,Outerwear,35272,Other,4.52,
3,Overall Rating,Outerwear,129113,Steve Madden,4.51,
4,Overall Rating,Outerwear,27439,Steve Madden,4.48,
0,Overall Rating,Bottoms,133539,Miss Candyfloss,4.76,
1,Overall Rating,Bottoms,144572,Other,4.74,
2,Overall Rating,Bottoms,153454,ModCloth,4.62,
3,Overall Rating,Bottoms,141880,ModCloth,4.61,
4,Overall Rating,Bottoms,148257,ModCloth,4.61,
0,Overall Rating,Tops,67022,Out of Print,4.79,
1,Overall Rating,Tops,143764,Daisey Natives,4.74,
2,Overall Rating,Tops,70230,Kin Ship,4.73,
3,Overall Rating,Tops,122266,Kin Ship,4.72,
4,Overall Rating,Tops,116736,Other,4.64,
0,Latest Trend Rating,Portable Audio & Video,1064,Other,5.0,
1,Latest Trend Rating,Portable Audio & Video,816,Uniden,5.0,
2,Latest Trend Rating,Portable Audio & Video,790,Other,5.0,
3,Latest Trend Rating,Portable Audio & Video,570,Archos,5.0,
4,Latest Trend Rating,Portable Audio & Video,1149,Sony,5.0,
0,Latest Trend Rating,Computers & Accessories,2939,Other,5.0,
1,Latest Trend Rating,Computers & Accessories,2958,Other,5.0,
2,Latest Trend Rating,Computers & Accessories,977,Apple,5.0,
3,Latest Trend Rating,Computers & Accessories,896,Other,5.0,
4,Latest Trend Rating,Computers & Accessories,7097,Other,5.0,
0,Latest Trend Rating,Headphones,7222,Other,5.0,
1,Latest Trend Rating,Headphones,4320,Other,5.0,
2,Latest Trend Rating,Headphones,4458,Other,5.0,
3,Latest Trend Rating,Headphones,4140,Other,5.0,
4,Latest Trend Rating,Headphones,4568,Other,5.0,
0,Latest Trend Rating,Camera & Photo,1598,ViewSonic,5.0,
1,Latest Trend Rating,Camera & Photo,506,Other,5.0,
2,Latest Trend Rating,Camera & Photo,6499,Other,5.0,
3,Latest Trend Rating,Camera & Photo,520,Sony,5.0,
4,Latest Trend Rating,Camera & Photo,537,Kodak,5.0,
0,Latest Trend Rating,Accessories & Supplies,3960,Other,5.0,
1,Latest Trend Rating,Accessories & Supplies,3661,Other,5.0,
2,Latest Trend Rating,Accessories & Supplies,3719,Other,5.0,
3,Latest Trend Rating,Accessories & Supplies,4112,Other,5.0,
4,Latest Trend Rating,Accessories & Supplies,4469,Other,5.0,
0,Latest Trend Rating,Television & Video,8122,Other,5.0,
1,Latest Trend Rating,Television & Video,5030,Other,5.0,
2,Latest Trend Rating,Television & Video,3656,Other,5.0,
3,Latest Trend Rating,Television & Video,2606,Other,5.0,
4,Latest Trend Rating,Television & Video,2214,Toshiba,5.0,
0,Latest Trend Rating,Car Electronics & GPS,4465,Other,5.0,
1,Latest Trend Rating,Car Electronics & GPS,3300,Other,5.0,
2,Latest Trend Rating,Car Electronics & GPS,1521,Other,5.0,
3,Latest Trend Rating,Car Electronics & GPS,4476,Other,5.0,
4,Latest Trend Rating,Car Electronics & GPS,1401,Other,5.0,
0,Latest Trend Rating,Home Audio,4481,Other,5.0,
1,Latest Trend Rating,Home Audio,5636,Other,5.0,
2,Latest Trend Rating,Home Audio,6198,Other,5.0,
3,Latest Trend Rating,Home Audio,2655,Other,5.0,
4,Latest Trend Rating,Home Audio,211,Bose,5.0,
0,Latest Trend Rating,Security & Surveillance,1840,Other,5.0,
1,Latest Trend Rating,Security & Surveillance,5792,Other,4.54,
2,Latest Trend Rating,Security & Surveillance,3754,Other,4.42,
3,Latest Trend Rating,Security & Surveillance,2687,Other,4.33,
4,Latest Trend Rating,Security & Surveillance,4347,Other,4.29,
0,Latest Trend Rating,Wearable Technology,4968,Other,4.5,
1,Latest Trend Rating,Wearable Technology,8752,Other,4.29,
2,Latest Trend Rating,Wearable Technology,2830,Other,4.26,
3,Latest Trend Rating,Wearable Technology,6438,Other,4.1,
4,Latest Trend Rating,Wearable Technology,8851,Other,4.02,
0,Latest Trend Rating,Dresses,154064,ModCloth,4.78,
1,Latest Trend Rating,Dresses,146840,Other,4.72,
2,Latest Trend Rating,Dresses,61110,Chi Chi London,4.71,
3,Latest Trend Rating,Dresses,110169,Ryu,4.7,
4,Latest Trend Rating,Dresses,135791,Other,4.69,
0,Latest Trend Rating,Outerwear,135555,ModCloth,4.6,
1,Latest Trend Rating,Outerwear,123500,ModCloth,4.58,
2,Latest Trend Rating,Outerwear,129113,Steve Madden,4.57,
3,Latest Trend Rating,Outerwear,35272,Other,4.51,
4,Latest Trend Rating,Outerwear,47325,Other,4.46,
0,Latest Trend Rating,Bottoms,133539,Miss Candyfloss,4.83,
1,Latest Trend Rating,Bottoms,102736,Other,4.81,
2,Latest Trend Rating,Bottoms,70478,Other,4.71,
3,Latest Trend Rating,Bottoms,114371,Other,4.69,
4,Latest Trend Rating,Bottoms,137232,ModCloth,4.64,
0,Latest Trend Rating,Tops,67022,Out of Print,4.81,
1,Latest Trend Rating,Tops,122266,Kin Ship,4.78,
2,Latest Trend Rating,Tops,63583,Other,4.73,
3,Latest Trend Rating,Tops,137370,Other,4.73,
4,Latest Trend Rating,Tops,143764,Daisey Natives,4.71,
